Natalizio,Sammy,Merle,female,14,White American,1,B-,Brown,Hazel,9685 Valley Drive,Winnemucca,Nevada,89605,775-148-7718,731-40-2476
Balchunas,Joleen,Sherlene,female,22,Other Race,1,A+,Brown,Brown,8550 Route 30,Bellefontaine,Ohio,45338,740-666-5254,680-20-1193
Higbie,Florentina,Jenette,male,8,White American,0,A+,Blond,Blue,5539 Orchard Street,Portsmouth,New Hampshire,3319,603-758-3375,948-85-6756
Villeda,Brittney,Melisa,female,63,White American,0,A+,Black,Brown,7628 Walnut Avenue,Williamsport,Pennsylvania,17433,412-277-9256,441-79-9860
Gramby,Lynell,Neva,female,33,White American,0,A+,Brown,Green,2349 Harrison Street,Spanish Fork,Utah,84521,801-874-3272,986-82-1838
Boedecker,Napoleon,Ricardo,female,54,White American,0,A-,Brown,Brown,1607 Division Street,Bonners Ferry,Idaho,83442,208-202-1335,208-89-4508
Synakowski,Katharine,Lucy,female,6,White American,0,B+,Brown,Brown,6499 3rd Street North,Santa Monica,California,92317,209-428-7849,657-12-7224
Ricardez,Marilynn,Sharlene,female,13,White American,0,A+,Brown,Green,1679 Pearl Street,Kokomo,Indiana,47092,317-192-4764,628-91-1190
Acken,Russell,Rosalba,male,12,Black American,0,O+,Black,Brown,8978 Schoolhouse Lane,Dickinson,North Dakota,58131,701-708-4350,871-88-3839
Szafranski,Stephen,Martina,male,44,Native Hawaiian or Other Pacific Islander,0,O+,Black,Black,9434 Lake Avenue,McAlester,Oklahoma,74079,580-189-6204,844-66-1778
Cohea,Jayne,Herb,male,31,White American,0,A+,Light Brown,Blue,7644 Willow Street,Mishawaka,Indiana,47271,219-640-8450,302-54-2884
Delcolle,Barabara,Estela,male,10,White American,0,O+,Brown,Blue,3010 White Street,Youngstown,Ohio,45368,937-483-5210,661-64-9307
Widder,Ha,Monica,female,52,Black American,0,O-,Black,Brown,1410 Ridge Avenue,Gunnison,Colorado,80976,719-356-9523,884-56-8039
Corban,Necole,Lane,female,38,White American,0,O+,Brown,Blue,5172 Maple Street,Coupeville,Washington,98437,206-606-9900,496-75-3644
Edstrom,Bernetta,Isadora,male,55,White American,1,O+,Brown,Brown,7665 Hudson Street,Estes Park,Colorado,80312,970-920-3476,498-44-5933
Uehara,Cathryn,Nieves,female,13,White American,0,A+,Blond,Brown,2482 Jackson Street,Galesburg,Illinois,60701,618-399-5760,712-96-6624
Bullert,Latasha,Jung,female,46,White American,0,O+,Brown,Brown,3577 Lake Street,Walla Walla,Washington,98352,425-361-6490,403-44-6639
Crantz,Tai,Mabelle,female,45,White American,0,O+,Brown,Blue,2255 Park Avenue,Goldfield,Nevada,89728,775-278-5363,240-60-4214
Espey,Yuri,Shanna,female,57,White American,0,A+,Brown,Blue,2163 Warren Avenue,Alamogordo,New Mexico,88181,575-512-5643,102-81-4231
Morga,Launa,Elouise,female,34,White American,0,O+,Black,Hazel,8335 Linden Avenue,Joplin,Missouri,64651,417-896-4274,580-89-2261
Plymire,Russ,Reina,male,66,White American,0,O+,Brown,Grey,8611 5th Street East,Gainesville,Georgia,30106,229-679-3873,967-38-3564
Menotti,Wilbur,Alberto,female,59,White American,0,O-,Brown,Hazel,4283 Magnolia Court,Fallon,Nevada,89066,702-985-7054,999-23-8502
Maida,Sima,Jalisa,female,17,White American,0,A+,Light Brown,Brown,5282 Cobblestone Court,Kanab,Utah,84165,435-766-9686,841-79-6651
Roughen,Celesta,Marni,male,65,White American,0,O+,Brown,Blue,2282 Briarwood Court,Hastings,Nebraska,68016,531-396-4492,644-42-7701
Arevalo,Erick,Rayford,male,42,Asian American,0,A+,Brown,Black,7243 Carriage Drive,Lisle,Illinois,62877,217-541-4287,205-13-8986
Plocica,Lynwood,Tereasa,female,75,Black American,0,A+,Black,Brown,9618 Woodland Avenue,Ajo,Arizona,85040,928-178-2034,521-92-5765
Beaber,Willard,Shemeka,male,9,White American,0,A+,Brown,Green,9296 8th Avenue,Fredonia,New York,11163,516-800-5076,873-80-5007
Mcphee,Rufus,Jamila,male,3,White American,0,A-,Light Brown,Green,9329 Clark Street,Alhambra,California,90627,707-388-3438,999-91-8540
Soiro,Shena,Amado,male,77,White American,0,A+,Blond,Brown,7043 Tanglewood Drive,Omaha,Nebraska,68927,402-193-5199,552-60-8569
Zacchini,Alonso,Daniela,male,56,Native Hawaiian or Other Pacific Islander,0,A+,Black,Brown,3884 Main Street West,Ely,Nevada,89127,775-118-9721,762-90-2280
Sier,Marylouise,Vernia,male,53,Black American,0,B+,Black,Brown,5306 Church Street South,Nome,Alaska,99525,907-589-9131,685-56-9649
Comly,Jenice,Hettie,female,54,White American,0,O+,Light Brown,Blue,5468 Mulberry Court,McCook,Nebraska,68099,402-500-9721,843-79-2237
Verissimo,Vincenzo,Daina,female,4,Black American,0,A+,Light Brown,Brown,6164 Street Road,Twin Falls,Idaho,83284,208-605-9753,833-94-8126
Husband,Gale,Isidra,male,20,Other Race,1,A+,Black,Brown,8731 Lafayette Avenue,Roanoke,Virginia,23122,703-274-9111,537-35-3781
Cotillo,Gita,Latonia,male,61,White American,0,O+,Brown,Green,5212 Forest Avenue,Harpers Ferry,West Virginia,25813,304-129-8930,584-42-5473
Kmiotek,Scottie,Chester,female,57,Black American,0,A-,Black,Light Brown,7262 Main Street,Muskegon,Michigan,48669,810-862-3318,275-24-3851
Schepker,Genoveva,Brigette,female,19,White American,1,A+,Brown,Green,7162 Evergreen Drive,Kanab,Utah,84689,801-673-4215,253-60-8851
Taney,Jermaine,Livia,male,77,White American,0,O+,Red,Brown,8643 White Street,Golden,Colorado,81038,719-790-9346,335-90-6425
Drayer,Liza,Anamaria,male,27,Black American,0,O+,Black,Brown,5369 Warren Street,Harlan,Kentucky,41139,270-221-6556,677-16-7810
Mamaclay,Britta,Idalia,female,2,White American,0,O+,Blond,Blue,9742 Country Lane,Pontiac,Michigan,48927,517-676-6580,910-92-9234
Tomassi,Cami,Elly,female,20,White American,0,O+,Brown,Blue,5010 7th Avenue,Dearborn,Michigan,48357,810-813-3344,257-68-2085
Shinsel,Dalila,Daniella,male,37,White American,0,O+,Brown,Blue,2127 Cedar Court,Alexandria,Virginia,22249,703-193-3339,693-62-5429
Betances,Bernardina,Lisandra,female,59,White American,0,B+,Brown,Hazel,3898 3rd Avenue,Henderson,North Carolina,27039,980-484-2561,236-84-6931
Stands,Markita,Shaniqua,male,3,White American,0,B+,Brown,Blue,5527 Cambridge Court,Bethesda-Chevy Chase,Maryland,21860,240-360-9007,888-57-3445
Massart,Chad,Mui,male,18,Other Race,1,O+,Black,Brown,9168 Westminster Drive,Fargo,North Dakota,58614,701-971-5109,902-49-2932
Gural,Nick,Torrie,female,49,White American,1,A-,Light Brown,Blue,9504 Monroe Street,Bellingham,Washington,98064,509-961-9818,134-60-2836
Yurkovich,Delfina,Karleen,male,22,White American,0,O+,Brown,Hazel,6749 Route 100,Magnolia,Arkansas,72207,870-473-9147,769-59-3818
Westly,Sydney,Natalya,female,18,White American,0,A+,Brown,Brown,3491 Sycamore Street,Parkersburg,West Virginia,26554,681-484-6825,514-97-9568
Mcbane,Anglea,Kassandra,female,33,Black American,0,O+,Black,Brown,5791 Heather Lane,Minot,North Dakota,58637,701-886-3962,864-15-4697
Rylowicz,Janette,King,male,12,White American,1,O-,Brown,Green,3554 Oak Lane,Rogers,Arkansas,72537,870-432-2068,415-98-2464
Escher,Marcos,Carlyn,male,25,White American,0,AB+,Blond,Blue,9673 Poplar Street,Idaho City,Idaho,83666,208-312-2789,417-47-3796
Grosch,Clay,Stefania,female,16,Black American,0,O+,Black,Black,7615 Hillcrest Drive,Cookeville,Tennessee,37278,423-805-5691,711-16-5129
Dennin,Jadwiga,Alpha,male,48,White American,0,A+,Brown,Brown,6931 Virginia Street,Warren,Rhode Island,2920,401-523-3957,744-58-2884
Siver,Brady,Willene,male,49,White American,0,AB+,Blond,Brown,8775 York Street,Peekskill,New York,11425,631-304-7403,852-41-8519
Schram,Kina,Darcie,male,78,White American,0,O+,Brown,Brown,2322 Circle Drive,Charleston,South Carolina,29601,803-589-3774,166-95-3434
Kozuch,Lovella,Dannette,female,37,Black American,0,A-,Black,Brown,7727 Creek Road,Cordova,Alaska,99572,907-937-1783,545-32-8459
Jurkiewicz,Rob,Clarence,male,17,Asian American,0,B+,Brown,Black,6772 Mill Street,Union,South Carolina,29132,864-267-8612,471-45-1369
Wasik,Astrid,Marvis,male,27,White American,0,A+,Brown,Brown,4368 Main Street South,Bayonne,New Jersey,7948,908-123-4692,960-88-1934
Arden,Jeana,Brandie,female,43,White American,0,B+,Light Brown,Blue,2918 Lake Avenue,Levittown,Pennsylvania,15297,267-614-1590,231-88-6682
Cashett,Belva,Penney,male,63,White American,1,O+,Brown,Brown,4242 Pleasant Street,Newark,Delaware,19867,302-501-3760,278-30-4123
Thorns,Deeanna,Angel,male,17,White American,0,O+,Brown,Blue,3293 Briarwood Court,Canton,South Dakota,57386,605-660-4336,477-66-1357
Broner,Merrill,Emilie,male,8,Other Race,1,O+,Brown,Brown,6792 Lawrence Street,Buena Park,California,91513,747-270-1505,160-25-7915
Wilde,Ismael,Tessa,female,45,White American,0,O+,Brown,Blue,8945 Lexington Drive,Brattleboro,Vermont,5048,802-503-6910,811-90-1663
Minarik,Raylene,Hazel,male,54,White American,0,O+,Brown,Blue,8533 1st Street,Lexington,Virginia,22849,434-162-3150,879-40-1216
Padinha,Tammy,Basil,male,54,Other Race,1,O-,Black,Blue,4862 Willow Avenue,Goldfield,Nevada,89718,775-939-2232,631-78-4177
Husmann,Tilda,Evette,male,20,Black American,0,A+,Black,Brown,6080 Orchard Lane,Rockland,Maine,4300,207-817-7895,145-68-3252
Mattias,Waneta,Naida,female,95,Asian American,0,O+,Black,Black,8608 Hamilton Road,Highland Park,Michigan,49464,906-460-7976,615-94-3335
Giaquinta,Kristan,Annabelle,male,11,White American,0,O+,Black,Blue,8792 Oak Street,Morehead City,North Carolina,27614,704-874-8264,862-73-1357
Kalin,Gabriela,Fay,male,76,White American,0,O-,Brown,Brown,1331 Hickory Lane,Wichita,Kansas,66142,785-874-8217,663-69-3943
Senti,Lyndsey,Ozella,male,9,White American,0,A-,Brown,Green,6339 Front Street North,Pittsburg,Kansas,67216,913-978-4227,626-39-5055
Staniforth,Xochitl,Lane,female,33,White American,0,O+,Black,Brown,6781 Sherwood Drive,Livingston,Montana,59723,406-787-5658,748-37-9311
Copley,Lovie,Thuy,female,58,White American,0,O+,Brown,Green,8829 Rosewood Drive,Acoma,New Mexico,88016,505-291-6638,863-96-5911
Andebe,Truman,Benito,female,20,White American,1,O+,Brown,Hazel,4287 Route 2,Berkeley,California,92871,661-139-7340,608-63-1612
Klingenberg,Josiah,Lida,female,5,White American,0,A-,Light Brown,Blue,7237 Redwood Drive,Farmington,Maine,4594,207-827-2154,133-27-5436
Dehghani,Merle,Brice,male,56,White American,0,AB+,Brown,Blue,6997 Rose Street,Naperville,Illinois,61191,815-918-4255,949-23-9936
Levenson,Pearl,Thad,male,9,Black American,0,O+,Brown,Black,8878 Main Street,Newberg,Oregon,97276,458-536-8613,579-15-7636
Swartzbaugh,Zenobia,Yelena,female,80,Black American,0,O+,Black,Brown,9336 Hillcrest Avenue,Port Gibson,Mississippi,39443,601-390-3740,847-11-9841
Delmonte,Vina,Kristian,female,13,White American,0,A-,Brown,Brown,5465 Wood Street,Austin,Minnesota,56150,320-829-5778,698-10-5985
Seiffert,Yer,Pablo,male,54,White American,0,O+,Brown,Brown,1305 Route 27,Bellows Falls,Vermont,5717,802-735-3298,631-99-1811
Haeuser,Shanika,Teresita,female,2,White American,0,O+,Brown,Brown,4895 Schoolhouse Lane,Cambridge,Massachusetts,2682,617-888-5417,729-18-7433
Miosky,Essie,Kelsi,female,53,White American,0,A-,Brown,Brown,9354 George Street,Denver,Colorado,80829,303-229-6692,756-97-9581
Leung,Loan,Marline,male,3,Asian American,0,A+,Black,Brown,3393 Linden Street,Tacoma,Washington,98372,360-758-6153,403-43-2180
Zacharia,Elda,Ricarda,male,63,Black American,0,O-,Brown,Black,4241 Penn Street,Winslow,Arizona,85933,480-348-3252,397-66-9260
Asp,Jayne,Katerine,female,19,Black American,0,A+,Black,Brown,7111 Roberts Road,Manitowoc,Wisconsin,54814,715-822-9651,104-50-2243
Eick,Fidela,Corie,female,46,Native Hawaiian or Other Pacific Islander,0,O-,Brown,Brown,8193 Water Street,Milbank,South Dakota,57511,605-362-5764,303-90-4572
Strackbein,Henry,Suzann,male,20,White American,0,O+,Red,Brown,5771 Creek Road,Conneaut,Ohio,45241,567-835-3577,434-90-4523
Kreeger,Kymberly,Irwin,female,77,Asian American,0,A+,Black,Black,8759 College Street,Brighton,Colorado,80779,303-484-6630,879-21-4250
Eidschun,Gudrun,Deana,male,36,White American,0,A+,Brown,Blue,7859 8th Street West,Keene,New Hampshire,3272,603-919-8581,682-13-3018
Vigliotti,Lashaunda,Sean,female,52,White American,0,O+,Brown,Brown,9036 Heritage Drive,Shaker Heights,Ohio,43886,567-717-2823,933-19-7506
Galea,Denver,Tawna,male,50,White American,0,A-,Brown,Green,7489 Sycamore Drive,Columbus,Ohio,43878,234-651-5939,778-51-7622
Babel,Lurlene,Tonja,female,33,White American,1,A+,Light Brown,Green,3925 Route 27,Spring Green,Wisconsin,54407,414-741-8974,622-73-8001
Yarbough,Ailene,Lee,female,84,Other Race,1,AB-,Brown,Blue,7063 Bridle Court,Tooele,Utah,84570,385-225-7245,422-82-3003
Trnong,Sona,Shamika,male,62,White American,0,O+,Brown,Blue,6506 Beechwood Drive,Orono,Maine,4727,207-216-6933,719-69-6830
Boero,Kandi,Armida,female,11,White American,0,A+,Light Brown,Hazel,2778 Highland Avenue,Corvallis,Oregon,97174,503-337-9494,596-82-5569
Pery,Iliana,Collin,male,35,White American,0,A+,Light Brown,Brown,2686 Evergreen Drive,Conway,Arkansas,71885,479-653-9038,444-45-9399
Dudas,Vernia,Mittie,female,38,White American,0,B+,Blond,Blue,1722 Circle Drive,New Iberia,Louisiana,70117,337-902-2639,657-37-4439
Jardel,Margarito,Corinne,male,36,White American,0,B+,Black,Brown,3932 Tanglewood Drive,Greenwood,South Carolina,29319,843-986-1609,842-85-2542
Porritt,Caryl,Shoshana,male,14,Other Race,1,A-,Brown,Brown,9196 Magnolia Avenue,Vernal,Utah,84100,801-412-9173,318-68-4194
Grunder,Noble,Wilhelmina,male,11,White American,0,AB+,Red,Green,5186 3rd Avenue,Alexandria,Louisiana,71119,225-248-4845,671-96-6540
Chapel,Jessenia,Valery,male,40,White American,0,O+,Brown,Green,5681 Jefferson Avenue,Bedford,New York,12047,929-693-2830,842-91-8746
Rutman,Art,Cordie,male,45,Asian American,0,A+,Brown,Black,4087 Garfield Avenue,Bardstown,Kentucky,41889,270-423-8846,416-44-8652
