Mcmonagle,Dale,Marian,female,20,White American,0,O+,Brown,Blue,3582 Tanglewood Drive,Northfield,Minnesota,55757,651-668-9039,852-49-4635
Ziego,Nina,Elroy,male,43,White American,0,O+,Brown,Light Brown,7644 Main Street East,Providence,Rhode Island,2903,401-390-3526,368-71-8400
Haslinger,Irina,Berenice,female,59,White American,0,O+,Blond,Blue,8408 Strawberry Lane,Minden,Nebraska,68797,402-583-3966,493-55-6092
Bagdasarian,Domonique,Kathryne,female,7,White American,1,O-,Brown,Green,6710 Arch Street,Appleton,Wisconsin,53978,262-113-3750,240-94-1693
Lemire,Refugia,Latrina,female,44,Asian American,0,O+,Black,Black,5987 Sherman Street,Havre,Montana,59328,406-320-6862,283-91-5770
Muldrow,Rafael,Alvera,female,10,White American,0,O+,Red,Blue,3688 Tanglewood Drive,Sparks,Nevada,89219,725-138-4122,404-76-6760
Nylen,Pierre,Charisse,female,17,White American,0,A+,Black,Hazel,1023 Pleasant Street,Rexburg,Idaho,83491,208-711-4700,419-39-5745
Cassion,Georgann,Angelic,female,54,White American,0,B+,Brown,Brown,7242 Valley Drive,Fort Lee,New Jersey,7216,856-770-2414,233-90-9669
Im,Shonta,Leonida,male,61,White American,0,O+,Brown,Hazel,2285 Woodland Drive,Bay Saint Louis,Mississippi,39067,662-315-4933,428-64-8563
Zercher,Tiffany,Jadwiga,female,5,White American,0,A+,Brown,Green,6950 Somerset Drive,Warren,Michigan,49389,248-862-5218,815-93-9490
Harrah,Roman,Lavon,female,35,White American,0,B+,Brown,Blue,9982 Sycamore Lane,Gallatin,Tennessee,37906,931-821-9593,372-78-8428
Melendrez,Christina,Leif,female,15,White American,0,A+,Brown,Blue,7234 Pleasant Street,Idaho Falls,Idaho,83688,208-987-9194,283-14-6393
Rasulo,Malik,Leena,male,87,Other Race,1,O+,Brown,Brown,4972 4th Street South,Buffalo,New York,13098,347-433-9902,447-27-1375
Robusto,Bob,Gaynell,female,3,White American,0,A-,Blond,Blue,2341 Myrtle Street,Sacramento,California,91274,805-803-2024,124-10-8291
